word,frequency
0,1
CIA,1
tell,41
FBI,1
knows,24
wor,13
1,29
Dark,16
clouds,30
gathered,5
"overhead,\nExpelling",1
bull,2
2,9
vigilante,1
lacking,1
heroic,4
qualities,1
that\n,1
3,5
Diamante,1
Poem)\nBrain\nHeavenly,1
hellish\nF,1
4,8
break,10
tradition?\nWill,1
okay?\nI'll,1
5,5
got,36
assaulted,1
abused\nAnd,1
6,2
sit,29
left,36
"me,\nYou",1
wanna,4
"see,\nWha",1
7,6
thought,47
comes,48
"mind,\nBefore",1
8,2
Modern,4
men,55
"weird,\nN",1
9,3
"Life,\nFrom",1
ABC,2
XYZ;\nLearning,1
time,144
10,3
bat,5
continuously,1
demonstrates,1
echolocation,1
f,76
11,2
Alfons,1
Schuhbeck,1
chef.\nBavaria,1
Germany,1
12,3
Actress,2
Angela,2
Oberer,1
passing,12
moment,24
13,4
Artist,1
Berwen,1
serious.\nBerwen,1
signed,1
photo,5
14,3
American,6
hockey,2
mascot\nBruin,1
Boston,3
Bear,3
Blad,1
15,2
Woman,7
poet,17
poems,15
women.\nbeauti,1
16,3
female,2
politician,1
working,8
people.\nB,1
17,2
Autograph,1
collector,1
writer,1
Cliff,1
18,4
lovely,26
smile,20
queen.\nBeautiful,1
queen,4
19,5
Austria,1
beauty,47
1965.\nBeautiful,1
quee,2
20,7
Jeanine,1
Anderson,3
portraying,1
nurses,1
wa,28
21,4
Katja,1
Rieckermann,1
truly,12
Horn,1
Star,8
"""\nLov",1
22,4
Love,121
bobsledding,1
game\nManuel,1
Machata,1
23,5
Patryk,1
Pachura,1
race,4
car,20
driver.\nquiet,1
driver,3
24,8
Nice,4
smile.\nOpen,1
eyes,94
stop,19
hurtin,1
25,5
Abode,1
cage,6
dreams\neasy,1
fireflies\ngirdlin,1
26,4
pack,3
wolves,2
stood,18
quietly,2
watching.\nB,1
27,2
Hats,1
party\nApathy,1
Ban,1
28,2
Allowing,1
way\nBlaming,1
name\nClaiming,1
29,4
account,1
life\ncan,1
transformed,1
30,1
happen,12
HAPPY,1
\nWhen,2
31,1
innocence,6
