word,frequency
0,1
cia,1
fbi,1
biggest,4
weapon,4
1,1
clouds,89
overhead,5
bullets,9
valley,7
2,1
lacking,1
qualities,2
damn,8
criminals,2
3,1
diamante,1
poem,48
sybaritic,1
pathetic,1
4,1
ill,83
speaks,8
worst,8
condition,1
5,1
anger,33
anxious,6
bruises,2
friend,57
6,1
extentions,1
thing,90
7,1
comes,61
quiet,19
night,187
xrays,1
8,1
men,93
pride,9
selfishness,3
change,23
9,1
learning,1
genesis,5
life,226
revelations,1
10,1
bat,3
predators,2
upsidedown,1
zones,4
11,1
alfons,1
schuhbeck,1
wonderful,6
cookbook,1
12,1
passing,8
confessions,1
time,270
actress,4
13,1
photo,3
mode,1
artist,7
14,1
mascot,2
bruin,1
hocky,1
player,4
15,1
womans,3
catherine,1
honest,5
poet,25
woman,61
16,1
germany,3
christine,1
german,3
politician,2
w,3
17,1
surrounds,3
mr,12
stream,15
lifes,31
18,1
dreaming,4
williams,3
lady,50
eyes,344
19,1
takes,20
thief,5
beauty,73
20,1
jeanine,1
friendly,4
smile,34
21,1
playing,8
brooks,7
saxophone,1
stars,100
22,1
manuel,1
machata,1
natural,8
bobsledder,1
couch,3
23,1
patryk,1
pachura,1
unique,4
driver,2
24,1
red,63
hair,48
25,1
dreams,98
lord,46
letters,18
26,1
pack,5
howls,7
hunter,3
27,1
counts,2
vote,1
party,3
majorities,1
28,1
way,172
laughs,6
inside,18
thinking,8
29,1
account,2
creations,6
new,123
civilization,2
30,1
happen,3
diabetes,2
31,1
young,57
adults,4
32,1
professor,2
abc,1
better,26
wine,16
33,1
years,168
truth,55
appears,3
34,1
believe,10
oneness,2
envoys,1
message,6
35,1
aeroplane,1
bustling,1
vacant,3
motion,5
36,1
vitamins,3
round,24
idiots,1
37,1
children,46
fantasies,3
flirting,1
helps,6
38,1
place,90
thoughts,85
39,1
violet,9
ruby,3
beautiful,63
40,1
love,313
arms,71
true,62
41,1
keen,5
minds,23
42,1
quality,4
societys,1
wrong,33
direction,9
43,1
obscure,3
luxurious,1
perpetuous,1
tender,16
44,1
ones,57
clear,36
occasions,3
explanations,1
45,1
inviting,1
mother,78
green,67
future,38
46,1
holiday,7
house,59
gentle,29
mind,68
47,1
drive,7
humans,19
48,1
shudders,2
horror,5
turns,22
rubble,2
49,1
zantippes,1
language,12
50,1
man,196
fans,6
vague,4
controversies,1
lot,19
51,1
father,50
william,6
52,1
lived,7
storms,10
millenniums,2
land,42
53,1
heed,2
expend,1
candid,1
charm,3
54,1
carry,2
notes,24
limits,6
space,31
55,1
suspicions,1
private,6
hell,32
56,1
considering,1
kindness,19
sort,12
words,198
57,1
rich,19
recollection,1
58,1
beliefs,5
regions,7
mortgaged,1
madding,1
59,1
departure,2
worries,5
60,1
shock,1
hopeless,2
families,2
faces,33
61,1
forgiveness,6
great,84
mercy,6
62,1
cabinets,1
stretcher,1
welcome,13
posts,4
63,1
dull,15
moment,49
64,1
ends,13
countdown,1
sins,12
65,1
heart,197
66,1
irritate,1
scarred,1
67,1
learn,4
essence,5
flair,3
happiness,83
68,1
failure,8
sips,2
intolerant,1
69,1
filled,5
reigns,5
heights,5
promise,9
70,1
stance,2
boring,4
company,8
71,1
crying,2
lifeless,6
babies,7
72,1
nuggets,1
handy,1
73,1
lips,68
tenderness,8
74,1
dead,80
rise,11
75,1
allah,1
resolve,1
blessings,7
76,1
crimson,4
enter,2
hand,70
77,1
trust,23
fun,14
verses,10
chase,4
78,1
gone,9
retirement,1
79,1
finding,2
fetters,1
half,24
80,1
pain,62
blues,18
inner,12
81,1
teaches,2
exemplary,1
pupil,3
students,6
82,1
sun,166
super,2
sky,140
83,1
rosebud,2
orange,11
sweet,77
84,1
kgb,1
world,215
ideals,4
85,1
fills,10
awaken,2
valentine,6
celes,4
86,1
water,80
times,104
best,47
87,1
god,173
succinct,1
word,45
88,1
greens,2
sad,32
song,54
89,1
afraid,8
entourages,1
wind,98
90,1
trees,119
light,139
twist,4
91,1
sundays,2
jaunt,2
wheels,12
92,1
boat,20
waters,35
sandy,2
shore,23
sea,83
93,1
pressed,2
careless,9
elevation,1
angers,4
94,1
flesh,21
wings,68
moon,85
95,1
senses,15
strongest,2
defenses,1
th,14
96,1
proud,10
leant,2
gapping,1
97,1
adamant,1
restless,14
mountain,26
98,1
rules,15
journal,1
99,1
consequences,5
doubt,9
breeze,17
100,1
wide,9
blue,65
legendary,1
loam,2
101,1
know,25
comics,1
regales,1
102,1
allegory,7
march,16
small,56
animals,24
103,1
ferocious,3
beasts,7
104,1
105,1
chain,6
little,160
balm,3
106,1
graze,1
legal,2
day,275
107,1
sinner,3
simple,26
crow,8
108,1
forest,23
tigers,2
carnivorous,2
drink,4
109,1
teethless,1
old,154
boar,2
110,1
blooms,12
petals,24
environment,3
111,1
laying,2
damages,2
eggs,10
kind,41
112,1
falcons,1
higher,7
powers,11
falconer,1
113,1
winter,39
claws,5
severe,1
114,1
universe,13
115,1
exit,3
shackles,3
liberating,1
116,1
state,13
117,1
sacks,4
ugly,8
dogs,18
118,1
traveling,1
wilderness,12
drivers,2
fire,50
119,1
thunder,12
things,243
near,4
prevention,2
120,1
psyche,2
chill,5
bout,1
121,1
wearied,1
islands,5
vintage,1
hazes,1
122,1
verse,28
innumerable,1
123,1
prompt,1
homers,3
lyre,3
veins,6
124,1
press,10
steep,5
clusters,2
weep,1
125,1
fill,4
path,17
126,1
lizards,1
daisy,2
funs,2
127,1
